Index;Min(max. R-Score);<max. R-Score>;Std(max. R-Score);<(epoch of max R-Score>;Std(epoch of max R-Score);Min(max. R-Score (Val. set));<max. R-Score (Val. set)>;Std(max. R-Score (Val. set));<epoch of max R-Score (Val. set)>;Std(epoch of max R-Score (Val. set))
296.0;-1.2796930074691772;-0.7013911604881287;0.2769337594509125;1.0;0.0;-1.3058021068572998;-0.7192750573158264;0.2580670118331909;1.0;0.0
297.0;0.22941961884498596;0.25219202041625977;0.012335098348557949;147.24000549316406;5.340724468231201;0.19639244675636292;0.2285488098859787;0.012562104500830173;148.0;4.0
298.0;0.23461714386940002;0.25474387407302856;0.01267456728965044;145.0399932861328;7.892402172088623;0.20100605487823486;0.23035496473312378;0.012887285090982914;146.9199981689453;6.58229923248291
299.0;0.23564444482326508;0.257082998752594;0.012286973185837269;146.55999755859375;7.354589939117432;0.2008144110441208;0.23186743259429932;0.011978610418736935;146.83999633789062;5.962939739227295
300.0;0.2712947130203247;0.29137521982192993;0.012914656661450863;134.60000610351562;14.70544147491455;0.2283625304698944;0.2582031488418579;0.00995987094938755;127.72000122070312;16.8387451171875
301.0;0.26998427510261536;0.28887900710105896;0.012781733646988869;126.91999816894531;18.484046936035156;0.2259393036365509;0.2543274760246277;0.010121742263436317;122.23999786376953;18.012216567993164
302.0;0.26879408955574036;0.29258283972740173;0.014506211504340172;131.83999633789062;15.619646072387695;0.2311161458492279;0.2571597397327423;0.010108735412359238;121.4000015258789;20.954313278198242
303.0;0.27362439036369324;0.3008236885070801;0.013989303261041641;123.16000366210938;17.286026000976562;0.23589591681957245;0.263403058052063;0.010817396454513073;118.04000091552734;15.659075736999512
304.0;0.27170148491859436;0.2958185076713562;0.013879852369427681;123.5199966430664;16.057498931884766;0.24024280905723572;0.259617418050766;0.010278873145580292;124.23999786376953;16.04753303527832
305.0;0.26707595586776733;0.299905389547348;0.0155783174559474;120.5999984741211;19.908123016357422;0.24077197909355164;0.2617168128490448;0.011129805818200111;115.63999938964844;18.962419509887695
306.0;0.17684201896190643;0.21397735178470612;0.023290231823921204;130.1199951171875;16.681625366210938;0.1287829726934433;0.1665264368057251;0.02214670553803444;133.8800048828125;12.049619674682617
307.0;0.09401693940162659;0.141561821103096;0.03880980238318443;139.0;7.0;0.03844549134373665;0.0907624214887619;0.036731407046318054;138.32000732421875;11.841732025146484
308.0;0.14640456438064575;0.18692134320735931;0.023557113483548164;132.0800018310547;18.05528450012207;0.09936290234327316;0.13813714683055878;0.024426965042948723;129.1999969482422;21.775367736816406
309.0;0.2577293813228607;0.2883165776729584;0.014411870390176773;135.72000122070312;23.58940315246582;0.2314995378255844;0.25971880555152893;0.011698906309902668;144.55999755859375;10.10395622253418
310.0;0.25835373997688293;0.28598564863204956;0.013993842527270317;138.0800018310547;23.239547729492188;0.23081079125404358;0.2569754123687744;0.011713827960193157;138.9199981689453;21.383249282836914
311.0;0.2575686275959015;0.28959646821022034;0.014724713750183582;144.63999938964844;7.582216262817383;0.23153692483901978;0.260025292634964;0.011681598611176014;146.24000549316406;7.327346324920654
312.0;0.20943774282932281;0.2774077355861664;0.028319457545876503;63.439998626708984;32.10540008544922;0.16884857416152954;0.23219841718673706;0.02538977935910225;67.31999969482422;32.54704666137695
313.0;0.2217804193496704;0.2683776021003723;0.027298463508486748;61.79999923706055;25.079872131347656;0.175275057554245;0.22230735421180725;0.02556401863694191;75.23999786376953;34.13854217529297
314.0;0.2017725706100464;0.2721900939941406;0.027784213423728943;66.23999786376953;33.51900100708008;0.16185584664344788;0.22439560294151306;0.02594577893614769;73.91999816894531;38.93682861328125
315.0;0.2730984091758728;0.2992212176322937;0.015325666405260563;84.4800033569336;27.11260414123535;0.2384914606809616;0.26602184772491455;0.011479595676064491;82.5199966430664;23.843448638916016
316.0;0.2665294408798218;0.29715073108673096;0.015317138284444809;84.36000061035156;25.613929748535156;0.23595860600471497;0.2628859579563141;0.011853679083287716;77.4800033569336;19.272432327270508
317.0;0.27311912178993225;0.30034053325653076;0.01604284718632698;82.63999938964844;22.605087280273438;0.23980797827243805;0.2654492259025574;0.011594204232096672;76.27999877929688;17.915355682373047
318.0;0.27534571290016174;0.30013179779052734;0.014860507100820541;90.83999633789062;24.200000762939453;0.2401166707277298;0.26616498827934265;0.011182069778442383;86.5199966430664;25.49039077758789
319.0;0.26916196942329407;0.2968491315841675;0.015922848135232925;87.95999908447266;25.014129638671875;0.23328661918640137;0.2623770833015442;0.012239002622663975;83.4000015258789;18.93409538269043
320.0;0.2722133994102478;0.3012951910495758;0.016252120956778526;84.44000244140625;25.61587905883789;0.241196408867836;0.2659305930137634;0.01167780626565218;78.76000213623047;19.979740142822266
321.0;-1.7573041915893555;-1.171918272972107;0.3538249135017395;1.0;0.0;-1.6692249774932861;-1.1597460508346558;0.31996628642082214;1.0;0.0
322.0;0.0972706526517868;0.20819932222366333;0.04792311042547226;142.39999389648438;10.452272415161133;0.048041410744190216;0.15589141845703125;0.04691336303949356;141.27999877929688;10.841739654541016
323.0;0.2677067220211029;0.2928353250026703;0.015061238780617714;131.27999877929688;27.37778663635254;0.23836572468280792;0.2631244957447052;0.011925434693694115;138.9600067138672;11.399853706359863
324.0;0.2650979161262512;0.2918926775455475;0.015794901177287102;137.0399932861328;14.811257362365723;0.23654279112815857;0.2617831230163574;0.012389145791530609;135.8800048828125;14.68649959564209
325.0;0.26579368114471436;0.29521405696868896;0.015506009571254253;138.63999938964844;14.739065170288086;0.2396245300769806;0.26462870836257935;0.011950287036597729;134.52000427246094;12.080011367797852
326.0;0.27534571290016174;0.30013179779052734;0.014860507100820541;90.83999633789062;24.200000762939453;0.2401166707277298;0.26616498827934265;0.011182069778442383;86.5199966430664;25.49039077758789
327.0;0.26916196942329407;0.2968491315841675;0.015922848135232925;87.95999908447266;25.014129638671875;0.23328661918640137;0.2623770833015442;0.012239002622663975;83.4000015258789;18.93409538269043
328.0;0.2722133994102478;0.3012951910495758;0.016252120956778526;84.44000244140625;25.61587905883789;0.241196408867836;0.2659305930137634;0.01167780626565218;78.76000213623047;19.979740142822266
329.0;0.2781880497932434;0.30553656816482544;0.016125516965985298;73.55999755859375;20.324615478515625;0.24276846647262573;0.2684530019760132;0.012322507798671722;72.5199966430664;19.350107192993164
330.0;0.2788845896720886;0.30099034309387207;0.014739776030182838;80.87999725341797;20.374248504638672;0.23884786665439606;0.26470983028411865;0.01164786983281374;75.83999633789062;20.495285034179688
331.0;0.27522820234298706;0.30586281418800354;0.01701435260474682;73.5199966430664;19.32640838623047;0.24317973852157593;0.2680022120475769;0.012617349624633789;71.4800033569336;15.872198104858398
332.0;0.16139306128025055;0.18958820402622223;0.022236060351133347;144.44000244140625;5.000666618347168;0.11583535373210907;0.1441405564546585;0.019275221973657608;142.39999389648438;5.499999523162842
333.0;-0.1597261279821396;-0.01448895689100027;0.08165254443883896;141.0800018310547;8.072174072265625;-0.19188906252384186;-0.06417202204465866;0.0743391290307045;140.60000610351562;8.34665584564209
334.0;0.07072372734546661;0.14363817870616913;0.04582760110497475;123.5999984741211;19.233217239379883;0.013477789238095284;0.09515973925590515;0.04448338970541954;123.23999786376953;21.420940399169922
335.0;0.28570792078971863;0.3059198558330536;0.011323913000524044;101.0;41.6683349609375;0.2599574327468872;0.2754867970943451;0.008470132946968079;113.27999877929688;36.11615753173828
336.0;0.28238123655319214;0.30317649245262146;0.011548844166100025;102.36000061035156;38.277366638183594;0.2543420195579529;0.2727592885494232;0.008946123532950878;109.68000030517578;34.08533477783203
337.0;0.286093145608902;0.3051273226737976;0.011432350613176823;112.72000122070312;37.641422271728516;0.25939780473709106;0.2746284008026123;0.008507405407726765;118.80000305175781;32.60623550415039
338.0;0.19569900631904602;0.2641221880912781;0.029702475294470787;73.87999725341797;31.02326774597168;0.16309352219104767;0.21842949092388153;0.025442158803343773;76.08000183105469;33.3353157043457
339.0;0.19343265891075134;0.2488148808479309;0.0313233882188797;95.08000183105469;32.13502883911133;0.15792855620384216;0.20365814864635468;0.027032336220145226;102.55999755859375;29.64944839477539
340.0;0.18648184835910797;0.25729551911354065;0.030278373509645462;78.36000061035156;33.331520080566406;0.15467166900634766;0.2103341668844223;0.02690357342362404;81.27999877929688;31.925067901611328
341.0;0.26702988147735596;0.300351083278656;0.016270004212856293;48.279998779296875;24.396926879882812;0.2476031333208084;0.267907053232193;0.01063217781484127;54.279998779296875;19.271135330200195
342.0;0.2617930769920349;0.29638776183128357;0.01632418856024742;60.47999954223633;25.60943603515625;0.24296696484088898;0.2630372941493988;0.011898043565452099;54.560001373291016;19.022090911865234
343.0;0.2687758803367615;0.3002406358718872;0.016139889135956764;58.720001220703125;21.174907684326172;0.2459704428911209;0.26703205704689026;0.011222220957279205;52.68000030517578;18.103221893310547
344.0;0.2689563035964966;0.2997230291366577;0.01627030409872532;59.68000030517578;22.176790237426758;0.24625703692436218;0.2673705518245697;0.01081713568419218;55.84000015258789;16.957496643066406
345.0;0.26296085119247437;0.29539865255355835;0.01588313840329647;65.16000366210938;21.133859634399414;0.24413597583770752;0.26236864924430847;0.011116905137896538;61.119998931884766;19.660282135009766
346.0;0.2733086049556732;0.3002515435218811;0.01615365594625473;64.55999755859375;21.293739318847656;0.24674873054027557;0.2665744721889496;0.010976842604577541;55.959999084472656;17.103801727294922
347.0;0.1309472769498825;0.21554964780807495;0.04155843332409859;139.27999877929688;15.841716766357422;0.06812577694654465;0.1685825139284134;0.040080975741147995;139.27999877929688;15.862744331359863
348.0;0.27944451570510864;0.30361559987068176;0.014309380203485489;80.16000366210938;39.60185241699219;0.25892898440361023;0.27315670251846313;0.009563567116856575;89.80000305175781;35.73746871948242
349.0;0.2731229364871979;0.3012840747833252;0.014973531477153301;83.83999633789062;44.19057083129883;0.25028565526008606;0.2704661190509796;0.011052523739635944;98.19999694824219;35.162715911865234
350.0;0.28129473328590393;0.3037989139556885;0.014362595975399017;95.44000244140625;40.926841735839844;0.25582221150398254;0.27290865778923035;0.009575876407325268;95.16000366210938;34.206092834472656
351.0;0.2689563035964966;0.2997230291366577;0.01627030409872532;59.68000030517578;22.176790237426758;0.24625703692436218;0.2673705518245697;0.01081713568419218;55.84000015258789;16.957496643066406
352.0;0.26296085119247437;0.29539865255355835;0.01588313840329647;65.16000366210938;21.133859634399414;0.24413597583770752;0.26236864924430847;0.011116905137896538;61.119998931884766;19.660282135009766
353.0;0.2733086049556732;0.3002515435218811;0.01615365594625473;64.55999755859375;21.293739318847656;0.24674873054027557;0.2665744721889496;0.010976842604577541;55.959999084472656;17.103801727294922
354.0;0.2852773368358612;0.30639973282814026;0.015190956182777882;44.959999084472656;18.10036849975586;0.2530331015586853;0.2712792158126831;0.01092723198235035;38.91999816894531;14.823741912841797
355.0;0.2764172852039337;0.3013020157814026;0.015846271067857742;53.599998474121094;24.7032413482666;0.24543574452400208;0.2662672698497772;0.012078417465090752;43.0;14.5745210647583
356.0;0.28355130553245544;0.3069065809249878;0.016360217705368996;47.040000915527344;19.29697608947754;0.25284215807914734;0.2709875702857971;0.011288240551948547;42.599998474121094;11.503622055053711
357.0;0.07157764583826065;0.12884646654129028;0.019228817895054817;147.32000732421875;3.1453664302825928;0.04139517620205879;0.08270242065191269;0.01627187430858612;147.27999877929688;3.155946731567383
358.0;-2.3473174571990967;-0.9334527850151062;0.6251144409179688;145.0800018310547;4.030302047729492;-2.341949462890625;-0.9910354614257812;0.616697371006012;145.9199981689453;4.1525092124938965
359.0;-0.06792385131120682;0.0873144268989563;0.060540154576301575;138.8800048828125;13.962210655212402;-0.11696391552686691;0.04062160477042198;0.05873659625649452;136.9600067138672;16.463293075561523
360.0;0.28784745931625366;0.31045758724212646;0.012611489742994308;77.72000122070312;35.69841384887695;0.2513834238052368;0.2740824818611145;0.010714714415371418;94.4800033569336;32.000152587890625
361.0;0.2834911644458771;0.3080248534679413;0.01342699583619833;91.4800033569336;37.77578353881836;0.24787817895412445;0.27193140983581543;0.011861749924719334;99.87999725341797;31.649538040161133
362.0;0.2875010371208191;0.3094325363636017;0.01290116086602211;93.4000015258789;36.917701721191406;0.2517559230327606;0.27355295419692993;0.010651505552232265;99.31999969482422;32.984493255615234
363.0;0.1799219250679016;0.25587937235832214;0.031356751918792725;90.91999816894531;30.378063201904297;0.14863531291484833;0.2105329930782318;0.023533523082733154;88.5199966430664;28.663448333740234
364.0;0.17044876515865326;0.23188713192939758;0.03248806670308113;99.08000183105469;26.51716423034668;0.135618194937706;0.1867339015007019;0.02872338891029358;99.12000274658203;26.67445945739746
365.0;0.18444982171058655;0.24893270432949066;0.028982948511838913;87.23999786376953;29.870946884155273;0.1421603113412857;0.20129069685935974;0.02447623573243618;85.95999908447266;29.79300880432129
366.0;0.2751368284225464;0.3009421229362488;0.0150599405169487;48.7599983215332;21.494728088378906;0.23992446064949036;0.26370009779930115;0.011677369475364685;45.84000015258789;16.564722061157227
