Index;<epoch of min <Chi^2>>;Std(<epoch of min Chi^2>);<Chi^2(0%)>;<Chi^2(1%)>;<Chi^2(2%)>;<Chi^2(5%)>;<Chi^2(10%)>;<Chi^2(20%)>;<Chi_configs^2(0%)>;<Chi_configs^2(1%)>;<Chi_configs^2(2%)>;<Chi_configs^2(5%)>;<Chi_configs^2(10%)>;<Chi_configs^2(20%)>
11.0;61.349998474121094;66.633544921875;158.82821655273438;72.28431701660156;45.79146957397461;35.123008728027344;32.63169479370117;35.36812210083008;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
12.0;109.55000305175781;62.71529769897461;157.8839111328125;67.52054595947266;45.75247573852539;35.53042221069336;31.834491729736328;34.70185089111328;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
13.0;103.94999694824219;66.8647232055664;160.7615203857422;65.4472427368164;46.57195281982422;35.63546371459961;32.20662307739258;34.47565841674805;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
14.0;61.099998474121094;67.27938079833984;158.69235229492188;72.39557647705078;45.684017181396484;35.10420227050781;32.71198272705078;35.34462356567383;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
15.0;109.8499984741211;62.7755241394043;158.0822296142578;67.54693603515625;45.762245178222656;35.50489044189453;31.810169219970703;34.69227981567383;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
16.0;101.05000305175781;68.83196258544922;179.2687530517578;83.93363952636719;46.41620635986328;34.67738723754883;32.374664306640625;36.280662536621094;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
17.0;69.75;72.41246795654297;171.9089813232422;85.19300842285156;46.162513732910156;35.098392486572266;32.86937713623047;36.38353729248047;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
18.0;97.0999984741211;62.787784576416016;179.16412353515625;83.03094482421875;46.44544219970703;34.52035903930664;32.1406364440918;36.2551155090332;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
19.0;101.44999694824219;69.05030059814453;176.25131225585938;73.73722839355469;45.85297393798828;35.177513122558594;32.57749938964844;36.03425216674805;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
20.0;74.1500015258789;71.31640625;167.14356994628906;75.95423889160156;46.06526565551758;35.00941467285156;32.72455596923828;36.30393600463867;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
21.0;93.94999694824219;70.15582275390625;178.26109313964844;73.87252044677734;45.492610931396484;34.98614501953125;32.326438903808594;36.08540344238281;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
22.0;103.94999694824219;66.8647232055664;160.7615203857422;65.4472427368164;46.57195281982422;35.63546371459961;32.20662307739258;34.47565841674805;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
23.0;61.099998474121094;67.27938079833984;158.69235229492188;72.39557647705078;45.684017181396484;35.10420227050781;32.71198272705078;35.34462356567383;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
24.0;109.8499984741211;62.7755241394043;158.0822296142578;67.54693603515625;45.762245178222656;35.50489044189453;31.810169219970703;34.69227981567383;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
25.0;117.3499984741211;59.25971221923828;163.4499053955078;68.12333679199219;46.266807556152344;34.90320587158203;32.17556381225586;34.74985885620117;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
26.0;59.29999923706055;64.93243408203125;160.66722106933594;72.87910461425781;45.8615837097168;34.95928192138672;32.58687210083008;35.452816009521484;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
