Index;Min(max. R-Score);<max. R-Score>;Std(max. R-Score);<(epoch of max R-Score>;Std(epoch of max R-Score);Min(max. R-Score (Val. set));<max. R-Score (Val. set)>;Std(max. R-Score (Val. set));<epoch of max R-Score (Val. set)>;Std(epoch of max R-Score (Val. set))
549.0;0.25805410742759705;0.2936399579048157;0.020341988652944565;125.6500015258789;23.193180084228516;0.22803127765655518;0.25456351041793823;0.014654879458248615;124.69999694824219;21.699138641357422
550.0;0.24015945196151733;0.29349857568740845;0.026205269619822502;75.94999694824219;27.770627975463867;0.20466327667236328;0.2478211671113968;0.021233847364783287;76.25;25.45145034790039
551.0;0.20375914871692657;0.27836543321609497;0.03150800243020058;91.1500015258789;30.168432235717773;0.18469084799289703;0.23130831122398376;0.02705000713467598;84.55000305175781;28.772201538085938
552.0;0.19664406776428223;0.27243125438690186;0.035607993602752686;74.4000015258789;29.819459915161133;0.16141946613788605;0.2231599986553192;0.030575186014175415;79.05000305175781;32.78715133666992
553.0;0.2401607483625412;0.29520660638809204;0.024912282824516296;64.9000015258789;18.940073013305664;0.20894484221935272;0.25151437520980835;0.020646290853619576;59.95000076293945;13.945287704467773
554.0;0.2409755289554596;0.2888059914112091;0.02490936405956745;78.4000015258789;20.404850006103516;0.2104286253452301;0.24370388686656952;0.020684102550148964;75.5;20.04862403869629
555.0;0.20132213830947876;0.27845630049705505;0.03179074451327324;62.150001525878906;23.077159881591797;0.17765028774738312;0.23135817050933838;0.027155285701155663;58.849998474121094;21.01947784423828
556.0;0.0935390442609787;0.1916954666376114;0.03307923302054405;108.8499984741211;31.594928741455078;0.07973788678646088;0.14165237545967102;0.023614926263689995;111.25;34.04003143310547
557.0;-0.016495512798428535;0.06222187355160713;0.04424441605806351;137.75;10.422016143798828;-0.08681948482990265;0.007542543113231659;0.038677603006362915;133.1999969482422;13.586369514465332
558.0;0.12149730324745178;0.18675333261489868;0.030645862221717834;118.1500015258789;24.446020126342773;0.09030255675315857;0.1330801546573639;0.020152371376752853;99.4000015258789;31.64008140563965
559.0;0.2694259583950043;0.3075750470161438;0.01705852709710598;119.44999694824219;26.603273391723633;0.24611221253871918;0.26965388655662537;0.012332232668995857;124.75;20.593496322631836
560.0;0.2693583369255066;0.30500003695487976;0.01693766936659813;129.5;21.678268432617188;0.2409396916627884;0.26698973774909973;0.01120850257575512;133.9499969482422;17.685781478881836
561.0;0.2607012093067169;0.3041762411594391;0.02031148597598076;128.8000030517578;20.472318649291992;0.23748774826526642;0.2641919255256653;0.013909896835684776;129.89999389648438;19.469003677368164
562.0;0.12796425819396973;0.20114457607269287;0.037921953946352005;110.5;29.081554412841797;0.08633790910243988;0.13864900171756744;0.027071814984083176;98.30000305175781;37.755584716796875
563.0;0.11676986515522003;0.19709382951259613;0.03126370161771774;116.5;27.827476501464844;0.08160728961229324;0.13582399487495422;0.025557631626725197;109.5999984741211;28.981666564941406
564.0;0.11796192824840546;0.20337358117103577;0.03574588894844055;113.0;30.597557067871094;0.07061659544706345;0.1420445740222931;0.030369950458407402;105.4000015258789;29.8159236907959
565.0;0.24566321074962616;0.2966358959674835;0.02691039815545082;79.55000305175781;23.86028480529785;0.21197594702243805;0.25234267115592957;0.019758576527237892;73.8499984741211;22.720903396606445
566.0;0.2129848748445511;0.28142863512039185;0.03316328302025795;81.69999694824219;24.087778091430664;0.16784311830997467;0.23171718418598175;0.03028886392712593;77.69999694824219;24.512292861938477
