Index;<epoch of min <Chi^2>>;Std(<epoch of min Chi^2>);<Chi^2(0%)>;<Chi^2(1%)>;<Chi^2(2%)>;<Chi^2(5%)>;<Chi^2(10%)>;<Chi^2(20%)>;<Chi_configs^2(0%)>;<Chi_configs^2(1%)>;<Chi_configs^2(2%)>;<Chi_configs^2(5%)>;<Chi_configs^2(10%)>;<Chi_configs^2(20%)>
11.0;34.0;49.181636810302734;169.85008239746094;79.76849365234375;57.92396926879883;43.836761474609375;36.58799362182617;35.506507873535156;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
12.0;73.44000244140625;63.731910705566406;171.12783813476562;79.22850799560547;55.836299896240234;43.46855163574219;36.42749786376953;35.1281852722168;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
13.0;98.27999877929688;64.80067443847656;173.16148376464844;77.5119400024414;55.498382568359375;43.67848205566406;36.851173400878906;35.243125915527344;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
14.0;35.08000183105469;49.45445251464844;169.7440948486328;79.90765380859375;57.893218994140625;43.8399543762207;36.5790901184082;35.509742736816406;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
15.0;73.12000274658203;65.6793441772461;171.1186981201172;79.64456939697266;55.988525390625;43.441741943359375;36.464298248291016;35.241851806640625;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
16.0;48.79999923706055;70.8554916381836;178.0291748046875;77.74275207519531;56.957923889160156;43.55411148071289;36.985748291015625;35.678314208984375;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
17.0;28.280000686645508;54.94657516479492;172.63134765625;83.07756805419922;57.944602966308594;43.94011688232422;37.48004913330078;36.13435745239258;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
18.0;36.20000076293945;62.753482818603516;170.83482360839844;75.15546417236328;56.143985748291016;42.99909591674805;36.845680236816406;35.364768981933594;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
19.0;78.76000213623047;70.21294403076172;178.24301147460938;78.46127319335938;56.570350646972656;43.88396453857422;36.418174743652344;35.59849548339844;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
20.0;38.040000915527344;53.06715774536133;169.86013793945312;82.0571517944336;58.03276062011719;44.1515998840332;36.84233474731445;35.891021728515625;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
21.0;71.31999969482422;68.44811248779297;176.15103149414062;78.83090209960938;57.144805908203125;44.083683013916016;36.38035583496094;35.71385192871094;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
22.0;98.27999877929688;64.80067443847656;173.16148376464844;77.5119400024414;55.498382568359375;43.67848205566406;36.851173400878906;35.243125915527344;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
23.0;35.08000183105469;49.45445251464844;169.7440948486328;79.90765380859375;57.893218994140625;43.8399543762207;36.5790901184082;35.509742736816406;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
24.0;73.12000274658203;65.6793441772461;171.1186981201172;79.64456939697266;55.988525390625;43.441741943359375;36.464298248291016;35.241851806640625;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
25.0;97.87999725341797;67.13687896728516;172.97021484375;77.5893783569336;55.409847259521484;43.48109436035156;36.883644104003906;35.401912689208984;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
