Index;Min(max. R-Score);Avrg(max. R-Score);Std(max. R-Score);Avrg(epoch of max R-Score);Std(epoch of max R-Score);Min(max. R-Score (Val. set));Avrg(max. R-Score (Val. set));Std(max. R-Score (Val. set));Avrg(epoch of max R-Score (Val. set));Std(epoch of max R-Score (Val. set))
1433.0;-0.2501401901245117;-0.1673799753189087;0.03436388447880745;136.675;10.087787742536097;-0.27649450302124023;-0.19455230236053467;0.03869669511914253;136.825;9.953449344129593
1434.0;-0.015357017517089844;-0.006997016258537769;0.0031866258941590786;122.6;23.83683854446457;-0.01773679256439209;-0.007424974348396063;0.003878542687743902;123.225;20.20851242320855
1435.0;-0.0015186071395874023;0.0002617731806822121;0.001538928714580834;105.35;35.891253130561644;-0.0012671947479248047;0.0007680132985115051;0.001800654223188758;122.725;25.307328927326516
1436.0;-0.0023827552795410156;-0.00046468229265883565;0.0017850236035883427;78.275;42.133479896694126;-0.0026792287826538086;-0.00019878297462128103;0.001912425272166729;84.625;42.57463281079895
1437.0;-0.0006597042083740234;0.0010717958211898804;0.001584807876497507;84.125;44.09266902262168;-0.00032889842987060547;0.0020078420639038086;0.0018611380364745855;75.35;49.113447946878765
1438.0;-0.0031331777572631836;8.17656546132639e-5;0.0018290780717507005;128.9;20.73743054577943;-0.0020279884338378906;0.0008139684796333313;0.0016583126271143556;120.9;27.271474718711737
1439.0;-0.01535642147064209;-0.008921164087951183;0.0028277263045310974;121.925;23.860048681361132;-0.01710343360900879;-0.009762483648955822;0.003246620763093233;117.925;23.521280599185943
1440.0;-0.0049076080322265625;-0.001631230115890503;0.001970547717064619;104.85;31.0908923922037;-0.005429387092590332;-0.001271636807359755;0.002158976625651121;109.175;30.58480224237404
1441.0;-0.0010017156600952148;0.0007720276480540633;0.0016865090001374483;67.4;43.41735444112949;-0.0013387203216552734;0.0018947944045066833;0.0016589309088885784;76.375;34.42992697922654
1442.0;-0.004029989242553711;-0.0017435371410101652;0.00181295454967767;74.25;46.36740123660046;-0.005369305610656738;-0.0014067143201828003;0.001891162944957614;90.55;37.10895254482884
