Index;Max. R-Score;Epoch of max R-Score
65.0;-0.1746144908652707;65.0
66.0;-0.05736740689224207;20.0
67.0;-0.023315476149201153;129.0
68.0;-0.008754077185155085;71.0
69.0;-0.04912205208736453;20.0
70.0;-0.06897113185141257;17.0
71.0;-0.09223074175318668;29.0
72.0;-0.11403456965723402;146.0
73.0;-0.09256415183745292;16.0
74.0;-0.015210152563602364;16.0
75.0;-0.010388134328994214;146.0
76.0;-0.009288350241744459;12.0
77.0;-0.11950362003660708;84.0
78.0;-0.11800002603112425;3.0
79.0;-0.02864948190550831;2.0
80.0;-0.13211270527235097;45.0
81.0;-0.11707139929694765;98.0
82.0;-0.17043620227051637;2.0
83.0;-0.16949533571254904;8.0
84.0;-0.08280716871006266;73.0
85.0;-0.013666422546660062;96.0
86.0;-0.020761169850317618;71.0
87.0;-0.10724937266741863;91.0
88.0;-0.12146063976993204;2.0
89.0;-0.12210944933369827;58.0
90.0;-0.18418922888778488;4.0
91.0;-0.015781080864171848;90.0
92.0;-0.05646947022777704;7.0
93.0;-0.0024483194193822833;2.0
94.0;-0.10805029508650099;127.0
95.0;-0.11016439966435465;2.0
96.0;-0.11585034775718062;60.0
97.0;-0.12590343182801833;1.0
98.0;-0.1307400940678567;34.0
99.0;-0.15457734932625034;85.0
100.0;-0.08408140676484344;52.0
101.0;-0.07488681128396979;61.0
102.0;0.0009646200965940377;5.0
103.0;-0.023154601334040237;1.0
104.0;-0.07914286662696601;135.0
105.0;-0.14894969387449208;112.0
106.0;-0.08314698794740782;67.0
107.0;-0.13251779429542565;1.0
108.0;-0.1470254322543736;75.0
109.0;-0.04449501236596953;84.0
110.0;-0.06921120930629288;1.0
111.0;-0.03619535751185432;1.0
112.0;-0.12299258855242456;143.0
113.0;-0.09771223888223646;2.0
114.0;-0.14413092239333136;2.0
115.0;-0.23150009937831384;2.0
116.0;-0.19060644040953245;141.0
117.0;-0.21247931095982064;37.0
118.0;-0.16380430003102364;35.0
119.0;-0.10318366827338532;36.0
120.0;-0.004175357593971141;52.0
121.0;-0.0839279712805463;1.0
122.0;-0.11123778038740784;135.0
123.0;-0.20698248236259742;54.0
124.0;-0.1407990322910322;135.0
125.0;-0.2153169503783916;2.0
126.0;-0.17958483874375197;105.0
127.0;-0.06733771096785812;60.0
128.0;-0.1277199163356877;127.0
129.0;-0.058515460275077924;5.0
130.0;-0.13252992384566187;143.0
131.0;-0.12082551819306198;26.0
132.0;-0.10233434030870203;70.0
133.0;-0.25905498394527227;65.0
134.0;-0.21427458390299292;141.0
135.0;-0.25686355783040815;112.0
136.0;-0.19935228920895942;106.0
137.0;-0.12903337205072818;58.0
138.0;-0.0005560305303704549;131.0
139.0;-0.1605944229584373;1.0
140.0;-0.14732695514831184;85.0
141.0;-0.24833668790477526;112.0
142.0;-0.19600338439627674;135.0
143.0;-0.22509336612912212;126.0
144.0;-0.19704747467182493;110.0
145.0;-0.04655494974422392;145.0
146.0;-0.30858699375056786;117.0
147.0;-0.09383150725620282;1.0
148.0;-0.14550635013466562;136.0
149.0;-0.10241020576705084;2.0
150.0;-0.11432060261655441;89.0
151.0;-0.2686223925506528;44.0
152.0;-0.23449330898637766;141.0
153.0;-0.25200699268918303;44.0
154.0;-0.21879432525419906;71.0
155.0;-0.14974434304456352;106.0
156.0;0.000370168506130919;113.0
157.0;-0.19192523995006971;1.0
158.0;-0.1662845630781924;135.0
159.0;-0.2681425727181146;112.0
160.0;-0.2341416442896762;85.0
161.0;-0.24529036383866565;72.0
162.0;-0.20925141833334848;139.0
163.0;-0.1014486417977789;103.0
164.0;-0.08866061313955553;25.0
165.0;-0.059009032055872046;1.0
166.0;-0.15122329867281814;145.0
167.0;-0.10004001294436682;2.0
168.0;-0.07998684979213588;126.0
169.0;-0.28441384161095806;76.0
170.0;-0.21920201131083306;76.0
171.0;-0.26508058733698214;44.0
172.0;-0.24505787793033829;91.0
173.0;-0.16220745625500865;23.0
174.0;0.005347972649955679;113.0
175.0;-0.234614268821135;141.0
176.0;-0.19960115113846855;34.0
177.0;-0.26810843811964813;44.0
178.0;-0.2184122845036467;134.0
179.0;-0.24535404202256172;139.0
180.0;-0.20987654763120078;38.0
181.0;-0.009598862297203414;26.0
182.0;-0.07906704132698916;140.0
183.0;0.0033871796706903545;4.0
184.0;-0.2901474085871938;46.0
185.0;-0.030397216144625094;16.0
186.0;-0.06023805224598;36.0
187.0;-0.18522987885598785;1.0
188.0;-0.32011216574045864;4.0
189.0;-0.3275352723251854;90.0
190.0;-0.2766586103352049;132.0
191.0;-0.0016853823089730824;8.0
192.0;-0.03121377943081649;127.0
193.0;-0.09456105448658336;1.0
194.0;-0.2774332154814594;132.0
195.0;-0.2526108206523261;139.0
196.0;-0.21440316175571494;90.0
197.0;-0.19570260318886423;123.0
198.0;-0.1908967604450187;46.0
199.0;-0.14478652790902857;28.0
200.0;-0.08331109335932907;88.0
201.0;-0.09466661684580902;2.0
202.0;-0.12866243641122543;147.0
203.0;-0.1896292216573605;48.0
204.0;-0.14807882290501007;140.0
